asset_id,category,source_relpath,sha256,license,source_record,split,vertices,faces,units,software,generation_command,claim_status
ZG011,skirt_2_panels,skirt_2_panels/skirt_2_panels_01GM25EMDL/skirt_2_panels_01GM25EMDL_sim.obj,659deaf45a62ff4d2024a153cef7c376759330bf221277e0cbdda0df3b005f6e,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,5282,10388,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG012,skirt_2_panels,skirt_2_panels/skirt_2_panels_03OCDHFXDM/skirt_2_panels_03OCDHFXDM_sim.obj,b8beadab225e61c347c987b0d6db39bd36c4f04342f4a908b80305d3842c5bfc,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,9415,18592,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG013,skirt_2_panels,skirt_2_panels/skirt_2_panels_03Q4C6J8PM/skirt_2_panels_03Q4C6J8PM_sim.obj,454dfe4ccf1e069b5f5b4a3c0471793c0174829c8ea409329f0df8d5ae40e4fd,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,4300,8450,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG014,skirt_2_panels,skirt_2_panels/skirt_2_panels_07E5AT0OKZ/skirt_2_panels_07E5AT0OKZ_sim.obj,c8824430246780dd850da6a43ac54d811bc89c80e96f21d4c793b324e4295da9,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,8851,17477,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG015,skirt_2_panels,skirt_2_panels/skirt_2_panels_08KWTCSUC2/skirt_2_panels_08KWTCSUC2_sim.obj,e4042cccbe919c77ba73d57b0ce04fd9defe91d772fea36f7b8ad3a5b11d4045,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,5487,10799,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG016,skirt_2_panels,skirt_2_panels/skirt_2_panels_08Q7D8AJBZ/skirt_2_panels_08Q7D8AJBZ_sim.obj,db686fe41da5a182d21a54aeddc534eefcc93496803ae9f44536208f192f19bb,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,8452,16714,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG017,skirt_2_panels,skirt_2_panels/skirt_2_panels_08YRVA3MFA/skirt_2_panels_08YRVA3MFA_sim.obj,84bd40ca5dc4a8db3dd8cb9d08b94b1f6953a1dd330df00e26aab7fffbd25eb3,CC-BY-4.0,https://zenodo.org/records/5267549,test,13676,27085,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG018,skirt_2_panels,skirt_2_panels/skirt_2_panels_0AG3RA5IMQ/skirt_2_panels_0AG3RA5IMQ_sim.obj,4238928060faa02bdca13dafc5229479feb38fce918d5a15f16bca1c3d44dfe7,CC-BY-4.0,https://zenodo.org/records/5267549,test,5993,11829,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG019,skirt_2_panels,skirt_2_panels/skirt_2_panels_0CLGL0DHDB/skirt_2_panels_0CLGL0DHDB_sim.obj,40cc75046c93e52b3fd541516e7871adb31a82b44de378b075e2cb60e30eb7b0,CC-BY-4.0,https://zenodo.org/records/5267549,test,10383,20538,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG020,skirt_2_panels,skirt_2_panels/skirt_2_panels_0E9LGB17HH/skirt_2_panels_0E9LGB17HH_sim.obj,838303ec8bb66e4564d24fa3d5c6e297d281d68de299e3d30f26030fb3b792d8,CC-BY-4.0,https://zenodo.org/records/5267549,test,4757,9285,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
