asset_id,view_config,criterion,score
BL_AODAI_005,front_side_back,motif_texture,1
BL_AODAI_005,front_side_back,regional_period,NA
BL_AODAI_005,front_side_back,wearing_context,NA
BL_AODAI_005,four_view,components,1
BL_AODAI_005,four_view,silhouette,2
BL_AODAI_005,four_view,sewing_pattern,1
BL_AODAI_005,four_view,material_drape,1
BL_AODAI_005,four_view,motif_texture,1
BL_AODAI_005,four_view,regional_period,NA
BL_AODAI_005,four_view,wearing_context,NA
TSR_AODAI_001,front,components,1
TSR_AODAI_001,front,silhouette,2
TSR_AODAI_001,front,sewing_pattern,NA
TSR_AODAI_001,front,material_drape,1
TSR_AODAI_001,front,motif_texture,1
TSR_AODAI_001,front,regional_period,NA
TSR_AODAI_001,front,wearing_context,NA
TSR_AODAI_001,front_side,components,1
TSR_AODAI_001,front_side,silhouette,2
TSR_AODAI_001,front_side,sewing_pattern,NA
TSR_AODAI_001,front_side,material_drape,2
TSR_AODAI_001,front_side,motif_texture,1
TSR_AODAI_001,front_side,regional_period,NA
TSR_AODAI_001,front_side,wearing_context,NA
TSR_AODAI_001,front_side_back,components,1
TSR_AODAI_001,front_side_back,silhouette,2
TSR_AODAI_001,front_side_back,sewing_pattern,NA
TSR_AODAI_001,front_side_back,material_drape,2
TSR_AODAI_001,front_side_back,motif_texture,1
TSR_AODAI_001,front_side_back,regional_period,NA
TSR_AODAI_001,front_side_back,wearing_context,NA
TSR_AODAI_001,four_view,components,1
TSR_AODAI_001,four_view,silhouette,2
TSR_AODAI_001,four_view,sewing_pattern,NA
TSR_AODAI_001,four_view,material_drape,1
TSR_AODAI_001,four_view,motif_texture,1
TSR_AODAI_001,four_view,regional_period,NA
TSR_AODAI_001,four_view,wearing_context,NA
TSR_AODAI_002,front,components,1
TSR_AODAI_002,front,silhouette,2
TSR_AODAI_002,front,sewing_pattern,NA
TSR_AODAI_002,front,material_drape,2
TSR_AODAI_002,front,motif_texture,1
TSR_AODAI_002,front,regional_period,NA
TSR_AODAI_002,front,wearing_context,NA
TSR_AODAI_002,front_side,components,1
TSR_AODAI_002,front_side,silhouette,2
TSR_AODAI_002,front_side,sewing_pattern,1
TSR_AODAI_002,front_side,material_drape,2
TSR_AODAI_002,front_side,motif_texture,1
TSR_AODAI_002,front_side,regional_period,NA
TSR_AODAI_002,front_side,wearing_context,NA
TSR_AODAI_002,front_side_back,components,1
TSR_AODAI_002,front_side_back,silhouette,2
TSR_AODAI_002,front_side_back,sewing_pattern,1
TSR_AODAI_002,front_side_back,material_drape,2
TSR_AODAI_002,front_side_back,motif_texture,1
TSR_AODAI_002,front_side_back,regional_period,NA
TSR_AODAI_002,front_side_back,wearing_context,NA
TSR_AODAI_002,four_view,components,1
TSR_AODAI_002,four_view,silhouette,2
TSR_AODAI_002,four_view,sewing_pattern,NA
TSR_AODAI_002,four_view,material_drape,2
TSR_AODAI_002,four_view,motif_texture,2
TSR_AODAI_002,four_view,regional_period,NA
TSR_AODAI_002,four_view,wearing_context,NA
